Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
kalalou-recycled-round-wood-display-tray,Kalalou Recycled Round Wood Display Tray,"<p>Recycled Round Wood Display Tray</p>
<ul id=""cbp-ntaccordion"" class=""cbp-ntaccordion"">
<li>
<h3 class=""cbp-nttrigger"">Product Description</h3>
<div class=""cbp-ntcontent"">
<ul class=""inner_con"">
<li>Product Dimensions : 24"" L x 24"" W x 5"" H</li>
<li>Material: Wood</li>
<li>SKU: NSE1095</li>
<li>Brand: Kalalou</li>
</ul>
</div>
</li>
<li>
<div class=""split_description""></div>
</li>
</ul>",Kalalou,Trays,"Kalalou, Kalalou-Trays, Recycled, Recycled Wood, Recycled-Trays, Round, Wooden",true,Title,Default Title,,,,,NSE1095,0.0,shopify,continue,manual,133.95,,true,true,'841628165524,https://cdn.shopify.com/s/files/1/0480/4175/4779/products/NSE1095-1.jpg?v=1609392861,1,,false,,,,,,,,,,,,,,,,,lb,,7.00,active
kalalou-large-velvet-foot-stool-with-wooden-legs-avocado,Kalalou Large Velvet Foot Stool With Wooden Legs - Avocado,"<p>Large Velvet Foot Stool With Wooden Legs </p>
<ul id=""cbp-ntaccordion"" class=""cbp-ntaccordion"">
<li>
<h3 class=""cbp-nttrigger"">Product Description</h3>
<div class=""cbp-ntcontent"">
<ul class=""inner_con"">
<li>Product Dimensions : 24"" L x 24"" W x 16"" H</li>
<li>Color: Avocado, Cobblestone, Honey, Steel Blue</li>
<li>SKU: NRV2100, NRV2101, NRV2102, NRV2099</li>
<li>Brand: Kalalou</li>
</ul>
</div>
</li>
<li>
<div class=""split_description""></div>
</li>
</ul>",Kalalou,Stools & Benches,"DISCOUNT, Honey, Kalalou, KALALOU10_DISCOUNT_10, Steel Blue, Velvet, Wood, Wooden",true,Color,Avocado,,,,,NRV2100,0.0,shopify,continue,manual,197.95,,true,true,'841628165227,https://cdn.shopify.com/s/files/1/0480/4175/4779/products/NRV2100-1.jpg?v=1609392859,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0480/4175/4779/products/NRV2100-1.jpg?v=1609392859,lb,,6.00,active
kalalou-large-velvet-foot-stool-with-wooden-legs-avocado,,,,,,,,Cobblestone,,,,,NRV2101,0.0,shopify,continue,manual,197.95,,true,true,'841628165234,https://cdn.shopify.com/s/files/1/0480/4175/4779/products/NRV2101-1.jpg?v=1609392859,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0480/4175/4779/products/NRV2101-1.jpg?v=1609392859,lb,,6.00,
kalalou-large-velvet-foot-stool-with-wooden-legs-avocado,,,,,,,,Honey,,,,,NRV2102,0.0,shopify,continue,manual,197.95,,true,true,'841628165241,https://cdn.shopify.com/s/files/1/0480/4175/4779/products/NRV2102-1.jpg?v=1609392859,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0480/4175/4779/products/NRV2102-1.jpg?v=1609392859,lb,,6.00,
kalalou-large-velvet-foot-stool-with-wooden-legs-avocado,,,,,,,,Steel Blue,,,,,NRV2099,0.0,shopify,continue,manual,197.95,,true,true,'841628165210,https://cdn.shopify.com/s/files/1/0480/4175/4779/products/NRV2099-1.jpg?v=1609392859,4,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0480/4175/4779/products/NRV2099-1.jpg?v=1609392859,lb,,6.00,
kalalou-recycled-wooden-side-table-with-lower-shelf,Kalalou Recycled Wooden Side Table With Lower Shelf,"<p>Recycled wooden side table with lower shelf.</p>
<ul id=""cbp-ntaccordion"" class=""cbp-ntaccordion"">
<li>
<h3 class=""cbp-nttrigger"">Product Description</h3>
<div class=""cbp-ntcontent"">
<ul class=""inner_con"">
<li>Product Dimensions : 14"" L x 14"" W x 24"" H</li>
<li>Material: Wood</li>
<li>SKU: NRAC1100</li>
<li>Brand: Kalalou</li>
</ul>
</div>
</li>
<li>
<div class=""split_description""></div>
</li>
</ul>",Kalalou,Side Tables,"furniture-instock, Kalalou, Kalalou-Side Tables, Recycled, Recycled Wood, Recycled-Shelves & Shelving Units, Recycled-Side Tables, rustic-tables-on-sale, Side Tables, Single Shelf, Wooden",true,Title,Default Title,,,,,NRAC1100,0.0,shopify,deny,manual,157.95,,true,true,'841628165197,https://cdn.shopify.com/s/files/1/0480/4175/4779/products/NRAC1100-1.jpg?v=1609392854,1,,false,,,,,,,,,,,,,,,,,lb,,7.00,active
kalalou-cane-pendant-light-triangle,Kalalou Cane Pendant Light - Triangle,"<p>Cane Pendant Light - Triangle</p><ul id=""cbp-ntaccordion"" class=""cbp-ntaccordion"">
<li>
<h3 class=""cbp-nttrigger"">Product Description</h3>
<div class=""cbp-ntcontent"">
<ul class=""inner_con"">
<li>Product Dimensions : 21"" L x 21"" W x 13"" H</li>
<li>SKU: NNL2520</li>
<li>Brand: Kalalou</li>
</ul>
</div>
</li>
<li>
<div class=""split_description""></div>
</li>
</ul>",Kalalou,Pendant Lamps,"1 Light, Bamboo Light Pendant, Bamboo pendant light, Bamboo-Pendant Lamps, kal-light-instock, Kalalou, Kalalou-Pendant Lamps, Rattan, Rattan Light, Triangle",true,Title,Default Title,,,,,NNL2520,0.0,shopify,continue,manual,177.95,,true,true,'841628165050,https://cdn.shopify.com/s/files/1/0480/4175/4779/products/NNL2520-1.jpg?v=1609392852,1,,false,,,,,,,,,,,,,,,,,lb,,1.00,active
kalalou-square-velvet-foot-stool-with-iron-legs,Kalalou Square Velvet Foot Stool With Iron Legs,"<p>Square Velvet Foot Stool With Iron Legs</p>
<ul id=""cbp-ntaccordion"" class=""cbp-ntaccordion"">
<li>
<h3 class=""cbp-nttrigger"">Product Description</h3>
<div class=""cbp-ntcontent"">
<ul class=""inner_con"">
<li>Product Dimensions : 19"" L x 19"" W x 18"" H</li>
<li>SKU: NKHU1020, NKHU1021, NKHU1022, NKHU1023</li>
<li>Color: Steel Blue, Avocado, Honey, Cobblestone</li>
<li>Brand: Kalalou</li>
</ul>
</div>
</li>
<li>
<div class=""split_description""></div>
</li>
</ul>",Kalalou,Stools & Benches,"Assembled, Avocado, Cobblestone, Contemporary, furniture-instock, Honey, Iron, Kalalou, Kalalou-Stools & Benches, Metal - Iron, Modern, Square, Square Arms, Steel Blue, Velvet, Velvet Fabric",true,Color,Steel Blue,,,,,NKHU1020,0.0,shopify,continue,manual,149.95,,true,true,'841628164879,https://cdn.shopify.com/s/files/1/0480/4175/4779/products/NKHU1021-1.jpg?v=1609392850,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0480/4175/4779/products/NKHU1020-1.jpg?v=1609392850,lb,,8.00,active
kalalou-square-velvet-foot-stool-with-iron-legs,,,,,,,,Avocado,,,,,NKHU1021,0.0,shopify,continue,manual,149.95,,true,true,'841628164886,https://cdn.shopify.com/s/files/1/0480/4175/4779/products/NKHU1023-1.jpg?v=1609392850,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0480/4175/4779/products/NKHU1023-1.jpg?v=1609392850,lb,,8.00,
kalalou-square-velvet-foot-stool-with-iron-legs,,,,,,,,Honey,,,,,NKHU1022,0.0,shopify,continue,manual,149.95,,true,true,'841628164893,https://cdn.shopify.com/s/files/1/0480/4175/4779/products/NKHU1020-1.jpg?v=1609392850,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0480/4175/4779/products/NKHU1022-1.jpg?v=1609392850,lb,,8.00,
